horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
H392,14/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,14/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,13/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,13/08/2024,快操,沙田,全天候,沙田 全天候,,1.00.5,60.5,32.5 28.0,,助手,,快操,PH,32.5 28.0 (1.00.5) (助手)
H392,13/08/2024,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,PH,飛機場 踱步 (助手)
H392,12/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,12/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
H392,11/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,11/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,10/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,10/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,09/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,09/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,08/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,08/08/2024,快操,沙田,全天候,沙田 全天候,,29.5,29.5,29.5,,助手,,快操,PH,29.5 (29.5) (助手)
H392,07/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,07/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
H392,06/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,06/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H392,05/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,05/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
H392,04/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,03/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,03/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
H392,02/08/2024,游水,沙田,,沙田,,,,,,,,游水,,
H392,02/08/2024,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,PH,內圈 快踱一圈 (助手)
