horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
E471,10/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,09/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,08/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,H,內圈 倒快兩圈 (助手)
E471,06/05/2023,快操,從化,全天候,從化 全天候,,54.7,54.7,28.7 26.0,,助手,,快操,H,28.7 26.0 (54.7) (助手)
E471,06/05/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,05/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,04/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,03/05/2023,快操,從化,全天候,從化 全天候,,56.1,56.1,30.1 26.0,,助手,,快操,H,30.1 26.0 (56.1) (助手)
E471,03/05/2023,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,02/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,01/05/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,30/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,29/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,28/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,27/04/2023,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,H,內圈 倒快一圈 (助手)
E471,23/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,23/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,22/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,22/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,21/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,21/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
E471,20/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,20/04/2023,快操,沙田,全天候,沙田 全天候,,55.7,55.7,30.6 25.1,,助手,,快操,B,30.6 25.1 (55.7) (助手)
E471,20/04/2023,踱步,沙田,飛機場,沙田 飛機場,,,,,,助手,,踱步,H,飛機場 踱步 (助手)
E471,19/04/2023,游水,沙田,,沙田,,,,,,,,游水,,
E471,19/04/2023,踱步,沙田,內圈,沙田 內圈,,,,,,助手,,快踱一圈,H,內圈 快踱一圈 (助手)
