horse_no,date,work_type,racecourse,track,venue,distance,time,time_sec,splits,partner,rider,placing,comment,gear,workout_details
L387,17/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,16/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,16/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,16/05/2026,快操,從化,全天候,從化 全天候,,56.5,56.5,29.8 26.7,,助手,,快操,,29.8 26.7 (56.5) (助手)
L387,16/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,15/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,15/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,15/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,14/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,14/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,13/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,13/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,12/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,12/05/2026,快操,從化,全天候,從化 全天候,,54.9,54.9,28.5 26.4,,助手,,快操,,28.5 26.4 (54.9) (助手)
L387,12/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,11/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,11/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,11/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,10/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,10/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,10/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,09/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,09/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,09/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,08/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,08/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,08/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,07/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,07/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,07/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快一圈,,內圈 倒快一圈 (助手)
L387,06/05/2026,快操,從化,草閘,從化 草閘,,53.6,53.6,29.0 24.6,,助手,,火流星,,29.0 24.6 (53.6) (助手) 火流星
L387,06/05/2026,踱步,從化,飛機場,從化 飛機場,,,,,,助手,,踱步,,飛機場 踱步 (助手)
L387,05/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,05/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,05/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱兩圈,,內圈 快踱兩圈 (助手)
L387,04/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,04/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,倒快兩圈,,內圈 倒快兩圈 (助手)
L387,03/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,03/05/2026,游水,從化,,從化,,,,,,,,游水,,
L387,03/05/2026,踱步,從化,內圈,從化 內圈,,,,,,助手,,快踱一圈,,內圈 快踱一圈 (助手)
L387,02/05/2026,馬匹水中步行機,從化,,從化,,,,,,,,馬匹水中步行機,,
L387,02/05/2026,游水,從化,,從化,,,,,,,,游水,,
