trial_date,group_no,trial_venue,distance_m,going,group_time,group_sectional_times
13/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
13/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
12/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
12/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
12/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
12/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
10/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
10/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
10/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
10/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
06/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
06/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
06/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
06/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
05/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
05/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
05/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
05/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
03/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
03/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
03/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
03/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
02/02/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
02/02/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
02/02/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
02/02/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
30/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
30/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
30/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
30/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
29/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
29/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
29/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
29/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
27/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
27/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
27/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
27/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
26/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
26/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
26/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
26/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
23/01/2026,1,沙田全天候跑道,1200,好地,1.10.96,25.6   23.0   22.3
23/01/2026,2,沙田全天候跑道,1200,好地,1.10.79,25.2   22.8   22.7
23/01/2026,3,沙田全天候跑道,1200,好地,1.10.26,24.8   22.7   22.7
23/01/2026,4,沙田全天候跑道,1200,好地,1.10.76,24.8   22.7   23.2
