venue,station_time,temperature,temperature_max,temperature_min,humidity,pressure,wind_direction,wind_speed,gust_speed,rain_10min,rain_today,soil_water,soil_loss_today,sunshine_hour,captured_at,sectional
HV,16:37,31,32.2,26.4,65.8,1007.2,N63W,7,9,0,0,20.3,4.6,9.07,2026-09-09T08:40:04.322752+00:00,"[{""gust"":8,""speed"":7,""location"":""A"",""direction"":""N70W""},{""gust"":1,""speed"":0,""location"":""B"",""direction"":""E""},{""gust"":6,""speed"":4,""location"":""C"",""direction"":""N69W""},{""gust"":10,""speed"":7,""location"":""D"",""direction"":""N11W""}]"
ST,16:37,30.6,31.5,25.8,64.3,1007.4,S70E,5,9,0,0,10.2,4.3,9.28,2026-09-09T08:40:04.322752+00:00,"[{""gust"":10,""speed"":9,""location"":""A"",""direction"":""S43E""},{""gust"":11,""speed"":9,""location"":""B"",""direction"":""N45E""},{""gust"":13,""speed"":8,""location"":""C"",""direction"":""N38E""},{""gust"":7,""speed"":4,""location"":""D"",""direction"":""S""}]"
ST,16:42,30.6,31.5,25.8,62.1,1007.5,N46E,7,11,0,0,10.2,4.3,9.36,2026-09-09T08:45:05.146386+00:00,"[{""gust"":7,""speed"":6,""location"":""A"",""direction"":""N60E""},{""gust"":7,""speed"":7,""location"":""B"",""direction"":""N1W""},{""gust"":9,""speed"":7,""location"":""C"",""direction"":""S35E""},{""gust"":7,""speed"":6,""location"":""D"",""direction"":""N50E""}]"
HV,16:42,31.1,32.2,26.4,66.9,1007.1,S36E,2,5,0,0,20.3,4.6,9.15,2026-09-09T08:45:05.146386+00:00,"[{""gust"":5,""speed"":4,""location"":""A"",""direction"":""N78W""},{""gust"":6,""speed"":5,""location"":""B"",""direction"":""S63W""},{""gust"":4,""speed"":2,""location"":""C"",""direction"":""S10W""},{""gust"":7,""speed"":5,""location"":""D"",""direction"":""N8E""}]"
ST,16:46,30.6,31.5,25.8,64.7,1007.5,N61E,4,8,0,0,10.2,4.6,9.43,2026-09-09T08:50:03.693428+00:00,"[{""gust"":4,""speed"":3,""location"":""A"",""direction"":""N73E""},{""gust"":5,""speed"":4,""location"":""B"",""direction"":""S81W""},{""gust"":10,""speed"":6,""location"":""C"",""direction"":""S51E""},{""gust"":5,""speed"":4,""location"":""D"",""direction"":""N68E""}]"
HV,16:46,29.7,32.2,26.4,70.2,1007.1,S31W,10,15,0,0,20.2,4.6,9.22,2026-09-09T08:50:03.693428+00:00,"[{""gust"":8,""speed"":7,""location"":""A"",""direction"":""S7W""},{""gust"":4,""speed"":2,""location"":""B"",""direction"":""S76W""},{""gust"":13,""speed"":8,""location"":""C"",""direction"":""S62W""},{""gust"":11,""speed"":8,""location"":""D"",""direction"":""S25E""}]"
HV,16:52,30,32.2,26.4,69.4,1007.2,S41W,6,8,0,0,20.2,4.6,9.32,2026-09-09T08:55:05.077181+00:00,"[{""gust"":5,""speed"":3,""location"":""A"",""direction"":""S41E""},{""gust"":8,""speed"":6,""location"":""B"",""direction"":""S78W""},{""gust"":8,""speed"":7,""location"":""C"",""direction"":""N72W""},{""gust"":7,""speed"":4,""location"":""D"",""direction"":""S40W""}]"
ST,16:52,30.4,31.5,25.8,65.3,1007.6,S74E,4,7,0,0,10.2,4.6,9.53,2026-09-09T08:55:05.077181+00:00,"[{""gust"":10,""speed"":9,""location"":""A"",""direction"":""N70E""},{""gust"":5,""speed"":4,""location"":""B"",""direction"":""N6W""},{""gust"":8,""speed"":6,""location"":""C"",""direction"":""N73E""},{""gust"":9,""speed"":8,""location"":""D"",""direction"":""N49E""}]"
HV,16:55,30.3,32.2,26.4,68.6,1007.2,S86W,5,11,0,0,20.2,4.6,9.37,2026-09-09T08:57:39.227981+00:00,"[{""gust"":12,""speed"":9,""location"":""A"",""direction"":""S39W""},{""gust"":4,""speed"":3,""location"":""B"",""direction"":""N73W""},{""gust"":4,""speed"":3,""location"":""C"",""direction"":""S70W""},{""gust"":14,""speed"":9,""location"":""D"",""direction"":""N19W""}]"
ST,16:55,30.5,31.5,25.8,65.7,1007.6,E,4,7,0,0,10.2,4.6,9.58,2026-09-09T08:57:39.227981+00:00,"[{""gust"":6,""speed"":5,""location"":""A"",""direction"":""N49E""},{""gust"":8,""speed"":6,""location"":""B"",""direction"":""N1E""},{""gust"":11,""speed"":9,""location"":""C"",""direction"":""S66E""},{""gust"":9,""speed"":6,""location"":""D"",""direction"":""N70E""}]"
ST,16:58,30.4,31.5,25.8,65.6,1007.5,N53E,6,11,0,0,10.2,4.6,9.63,2026-09-09T09:00:06.618255+00:00,"[{""gust"":10,""speed"":6,""location"":""A"",""direction"":""N81E""},{""gust"":16,""speed"":10,""location"":""B"",""direction"":""S87E""},{""gust"":8,""speed"":7,""location"":""C"",""direction"":""S88E""},{""gust"":7,""speed"":5,""location"":""D"",""direction"":""S87E""}]"
HV,16:58,30,32.2,26.4,69,1007.2,S17W,9,18,0,0,20.2,4.6,9.42,2026-09-09T09:00:06.618255+00:00,"[{""gust"":4,""speed"":1,""location"":""A"",""direction"":""S20E""},{""gust"":6,""speed"":3,""location"":""B"",""direction"":""S47W""},{""gust"":9,""speed"":8,""location"":""C"",""direction"":""S60W""},{""gust"":11,""speed"":8,""location"":""D"",""direction"":""S33E""}]"
HV,17:02,30.1,32.2,26.4,68.9,1007.3,N6E,5,10,0,0,20.2,4.6,9.49,2026-09-09T09:05:05.388753+00:00,"[{""gust"":10,""speed"":9,""location"":""A"",""direction"":""S8E""},{""gust"":6,""speed"":5,""location"":""B"",""direction"":""S37W""},{""gust"":5,""speed"":4,""location"":""C"",""direction"":""N27W""},{""gust"":10,""speed"":7,""location"":""D"",""direction"":""S15E""}]"
ST,17:02,30.2,31.5,25.8,64.8,1007.5,S80E,4,10,0,0,10.2,4.6,9.7,2026-09-09T09:05:05.388753+00:00,"[{""gust"":5,""speed"":3,""location"":""A"",""direction"":""S13E""},{""gust"":5,""speed"":4,""location"":""B"",""direction"":""N62E""},{""gust"":12,""speed"":9,""location"":""C"",""direction"":""S71E""},{""gust"":6,""speed"":5,""location"":""D"",""direction"":""S53E""}]"
HV,17:07,29.9,32.2,26.4,69.4,1007.1,S36W,7,11,0,0,20.2,4.8,9.57,2026-09-09T09:10:05.326903+00:00,"[{""gust"":8,""speed"":2,""location"":""A"",""direction"":""S61W""},{""gust"":8,""speed"":7,""location"":""B"",""direction"":""S33W""},{""gust"":9,""speed"":7,""location"":""C"",""direction"":""S34W""},{""gust"":2,""speed"":1,""location"":""D"",""direction"":""S20E""}]"
ST,17:07,30.3,31.5,25.8,65.1,1007.5,S22W,2,8,0,0,10.2,4.6,9.78,2026-09-09T09:10:05.326903+00:00,"[{""gust"":11,""speed"":9,""location"":""A"",""direction"":""S12W""},{""gust"":7,""speed"":5,""location"":""B"",""direction"":""N15E""},{""gust"":8,""speed"":6,""location"":""C"",""direction"":""N63E""},{""gust"":12,""speed"":7,""location"":""D"",""direction"":""S42W""}]"
ST,17:12,29.9,31.5,25.8,66.9,1007.5,S40E,7,10,0,0,10.2,4.8,9.86,2026-09-09T09:15:07.509432+00:00,"[{""gust"":4,""speed"":3,""location"":""A"",""direction"":""N7W""},{""gust"":18,""speed"":14,""location"":""B"",""direction"":""N25E""},{""gust"":15,""speed"":11,""location"":""C"",""direction"":""S79E""},{""gust"":2,""speed"":1,""location"":""D"",""direction"":""S22E""}]"
HV,17:12,29.7,32.2,26.4,69.8,1007.2,S71W,4,6,0,0,20.2,4.8,9.65,2026-09-09T09:15:07.509432+00:00,"[{""gust"":11,""speed"":7,""location"":""A"",""direction"":""S9W""},{""gust"":6,""speed"":4,""location"":""B"",""direction"":""S9W""},{""gust"":9,""speed"":7,""location"":""C"",""direction"":""S69W""},{""gust"":3,""speed"":3,""location"":""D"",""direction"":""N45E""}]"
HV,17:18,29.6,32.2,26.4,70.8,1007.3,S76W,2,13,0,0,20.2,4.8,9.75,2026-09-09T09:20:06.999626+00:00,"[{""gust"":11,""speed"":9,""location"":""A"",""direction"":""S10E""},{""gust"":7,""speed"":5,""location"":""B"",""direction"":""S14W""},{""gust"":7,""speed"":5,""location"":""C"",""direction"":""S48W""},{""gust"":7,""speed"":5,""location"":""D"",""direction"":""S39W""}]"
ST,17:18,30.4,31.5,25.8,66,1007.5,S82W,2,3,0,0,10.2,4.8,9.96,2026-09-09T09:20:06.999626+00:00,"[{""gust"":4,""speed"":3,""location"":""A"",""direction"":""S42E""},{""gust"":14,""speed"":12,""location"":""B"",""direction"":""N54E""},{""gust"":13,""speed"":11,""location"":""C"",""direction"":""S65E""},{""gust"":5,""speed"":4,""location"":""D"",""direction"":""S52W""}]"
